"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"126","G08 vs G05",1,0.598170004806361,2.31096249332305,0.316095520313995,0.051,0.0760064516129032,""
"127","G04 vs G22",1,0.848296086358705,4.24238290884979,0.261192149739205,0.01,0.0251086956521739,"."
"128","G04 vs G12",1,3.41396909757625,15.3723456126948,0.38076424293418,0.001,0.00607894736842105,"*"
"129","G04 vs G10",1,0.655811274022443,3.24857331565507,0.199929757065204,0.002,0.00871698113207547,"*"
"130","G04 vs G16",1,1.43762935611701,7.70823432435469,0.288608907303382,0.001,0.00607894736842105,"*"
"131","G04 vs G17",1,4.92031811116736,30.707727381913,0.497631798880891,0.001,0.00607894736842105,"*"
"132","G04 vs G14",1,1.53493816664029,8.84384715459817,0.404866738537699,0.005,0.0162676056338028,"."
"133","G04 vs G06",1,1.52678604321946,8.33241167400332,0.390598672167835,0.003,0.0121578947368421,"."
"134","G04 vs G13",1,1.31495180373972,6.39252711096247,0.329638683725177,0.005,0.0162676056338028,"."
"135","G04 vs G19",1,1.67988120844978,6.32402194389964,0.223274150698845,0.001,0.00607894736842105,"*"
"136","G04 vs G21",1,0.747086019439048,3.31433067523205,0.19142124159458,0.005,0.0162676056338028,"."
"137","G04 vs G20",1,1.04029968317114,4.46981976999296,0.242006680392998,0.001,0.00607894736842105,"*"
"138","G04 vs G15",1,0.940937705275784,4.76914254976477,0.254094854739358,0.001,0.00607894736842105,"*"
"139","G04 vs G18",1,0.879909409097686,4.43908744729615,0.27003247361071,0.016,0.0345420560747664,"."
